"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14932-8273","G","Corey","Crawford","5.6036363636363635","55","9800","CHI@DAL","CHI","DAL","","","",""
"14932-8594","C","Sidney","Crosby","4.072307692307692","65","9700","PIT@CLS","PIT","CLS","","","",""
"14932-8612","G","Marc-Andre","Fleury","4.991836734693878","49","9500","PIT@CLS","PIT","CLS","","","",""
"14932-9112","G","Jake","Allen","4.865","40","9400","ANH@STL","STL","ANH","","","",""
"14932-8883","G","Ben","Bishop","4.856","50","9300","PHI@TB","TB","PHI","","","",""
"14932-8595","C","Evgeni","Malkin","4.154464285714286","56","9100","PIT@CLS","PIT","CLS","","","",""
"14932-23072","G","Frederik","Andersen","4.261111111111111","36","9000","ANH@STL","ANH","STL","","","",""
"14932-8553","G","Brian","Elliott","4.676470588235294","34","8800","ANH@STL","STL","ANH","IR","Lower body","",""
"14932-8262","RW","Patrick","Kane","5.214705882352941","68","8600","CHI@DAL","CHI","DAL","","","",""
"14932-9302","G","Michal","Neuvirth","4.966666666666667","30","8600","PHI@TB","PHI","TB","","","",""
"14932-54065","G","Joonas","Korpisalo","4.7846153846153845","26","8500","PIT@CLS","CLS","PIT","","","",""
"14932-8556","C","Claude","Giroux","3.6266129032258068","62","8400","PHI@TB","PHI","TB","","","",""
"14932-54514","LW","Johnny","Gaudreau","3.7590909090909093","66","8300","ARI@CGY","CGY","ARI","","","",""
"14932-54565","G","Andrei","Vasilevskii","4.56842105263158","19","8200","PHI@TB","TB","PHI","","","",""
"14932-8312","G","Steve","Mason","4.292307692307692","39","8100","PHI@TB","PHI","TB","","","",""
"14932-15268","G","John","Gibson","4.36","30","8100","ANH@STL","ANH","STL","","","",""
"14932-8134","C","Ryan","Getzlaf","3.2557377049180327","61","8000","ANH@STL","ANH","STL","","","",""
"14932-8254","C","Jonathan","Toews","3.2313432835820897","67","8000","CHI@DAL","CHI","DAL","","","",""
"14932-8958","G","Jeff","Zatkoff","3.8769230769230774","13","8000","PIT@CLS","PIT","CLS","","","",""
"14932-12163","G","Sergei","Bobrovsky","3.896296296296297","27","8000","PIT@CLS","CLS","PIT","","","",""
"14932-8655","C","Steven","Stamkos","3.2865671641791043","67","7900","PHI@TB","TB","PHI","","","",""
"14932-8986","LW","Jamie","Benn","4.333823529411765","68","7800","CHI@DAL","DAL","CHI","","","",""
"14932-42709","G","Scott","Darling","3.5529411764705885","17","7800","CHI@DAL","CHI","DAL","","","",""
"14932-8404","RW","Wayne","Simmonds","3.3838461538461537","65","7700","PHI@TB","PHI","TB","","","",""
"14932-8608","D","Kris","Letang","3.619642857142857","56","7700","PIT@CLS","PIT","CLS","","","",""
"14932-8172","G","Kari","Lehtonen","3.9588235294117653","34","7600","CHI@DAL","DAL","CHI","","","",""
"14932-8303","RW","Jakub","Voracek","3.1883333333333335","60","7500","PHI@TB","PHI","TB","O","Lower body","",""
"14932-8432","G","Niklas","Backstrom","0","0","7500","ARI@CGY","CGY","ARI","","","",""
"14932-23071","RW","Vladimir","Tarasenko","3.89469696969697","66","7500","ANH@STL","STL","ANH","","","",""
"14932-9366","G","Dustin","Tokarski","1.3666666666666665","6","7400","ANH@STL","ANH","STL","","","",""
"14932-41389","C","Sean","Monahan","2.8833333333333333","66","7400","ARI@CGY","CGY","ARI","","","",""
"14932-8142","RW","Corey","Perry","3.3446969696969697","66","7300","ANH@STL","ANH","STL","","","",""
"14932-8765","RW","Patric","Hornqvist","3.131818181818182","66","7300","PIT@CLS","PIT","CLS","","","",""
"14932-8893","G","Anton","Khudobin","3.3000000000000003","8","7200","ANH@STL","ANH","STL","","","",""
"14932-8682","RW","Phil","Kessel","3.0772727272727276","66","7100","PIT@CLS","PIT","CLS","","","",""
"14932-8672","G","Mike","Smith","3.6727272727272733","22","7100","ARI@CGY","ARI","CGY","IR","Lower body","",""
"14932-9266","LW","Brayden","Schenn","3.007142857142857","63","7000","PHI@TB","PHI","TB","","","",""
"14932-62493","LW","Artemi","Panarin","3.5454545454545454","66","7000","CHI@DAL","CHI","DAL","","","",""
"14932-14483","G","Louis","Domingue","3.994117647058824","34","6900","ARI@CGY","ARI","CGY","","","",""
"14932-13612","C","Tyler","Johnson","2.625925925925926","54","6800","PHI@TB","TB","PHI","","","",""
"14932-9288","G","Antti","Niemi","3.842857142857143","42","6800","CHI@DAL","DAL","CHI","","","",""
"14932-8641","C","Alexander","Steen","3.19672131147541","61","6800","ANH@STL","STL","ANH","IR","Upper body","",""
"14932-43214","RW","Nikita","Kucherov","3.453846153846154","65","6700","PHI@TB","TB","PHI","","","",""
"14932-14468","G","Anders","Nilsson","3.46923076923077","26","6600","ANH@STL","STL","ANH","","","",""
"14932-12417","C","Tyler","Seguin","4.241176470588235","68","6600","CHI@DAL","DAL","CHI","","","",""
"14932-14148","G","Joni","Ortio","2.4000000000000004","12","6500","ARI@CGY","CGY","ARI","","","",""
"14932-66613","G","Niklas","Treutle","-1","2","6500","ARI@CGY","ARI","CGY","","","",""
"14932-68599","G","Nathan","Schoenfeld","0","0","6500","ARI@CGY","ARI","CGY","","","",""
"14932-8259","LW","Andrew","Ladd","2.56015625","64","6400","CHI@DAL","CHI","DAL","","","",""
"14932-8152","G","Jonas","Hiller","2.766666666666667","24","6400","ARI@CGY","CGY","ARI","","","",""
"14932-14126","G","Allan","York","0","0","6400","PHI@TB","TB","PHI","","","",""
"14932-15251","LW","Boone","Jenner","2.8499999999999996","67","6400","PIT@CLS","CLS","PIT","","","",""
"14932-40023","G","Anton","Forsberg","2.9000000000000004","4","6400","PIT@CLS","CLS","PIT","","","",""
"14932-8230","D","Mark","Giordano","2.716417910447761","67","6300","ARI@CGY","CGY","ARI","","","",""
"14932-43219","G","Kristers","Gudlevskis","5.2","1","6300","PHI@TB","TB","PHI","","","",""
"14932-8643","C","David","Backes","2.524264705882353","68","6300","ANH@STL","STL","ANH","","","",""
"14932-8598","LW","Chris","Kunitz","2.5171875","64","6300","PIT@CLS","PIT","CLS","","","",""
"14932-8233","G","Curtis","McElhinney","1.9000000000000001","18","6200","PIT@CLS","CLS","PIT","","","",""
"14932-15269","C","Rickard","Rakell","2.5357142857142856","63","6200","ANH@STL","ANH","STL","","","",""
"14932-8651","D","Alex","Pietrangelo","2.0796610169491525","59","6200","ANH@STL","STL","ANH","","","",""
"14932-14056","RW","Cam","Atkinson","2.8863636363636362","66","6200","PIT@CLS","CLS","PIT","","","",""
"14932-8263","RW","Marian","Hossa","2.7981481481481487","54","6100","CHI@DAL","CHI","DAL","IR","Leg","",""
"14932-15315","LW","Ondrej","Palat","2.2148936170212763","47","6100","PHI@TB","TB","PHI","","","",""
"14932-21122","LW","Jaden","Schwartz","3.073684210526316","19","6100","ANH@STL","STL","ANH","","","",""
"14932-12244","D","Oliver","Ekman-Larsson","3.3181818181818183","66","6000","ARI@CGY","ARI","CGY","DTD","Upper body","",""
"14932-8534","C","Jason","Spezza","3.306451612903226","62","5900","CHI@DAL","DAL","CHI","","","",""
"14932-9189","C","Mikael","Backlund","2.264179104477612","67","5900","ARI@CGY","CGY","ARI","","","",""
"14932-8266","D","Duncan","Keith","2.8327586206896553","58","5800","CHI@DAL","CHI","DAL","","","",""
"14932-12252","G","Anders","Lindback","2.4842105263157896","19","5800","ARI@CGY","ARI","CGY","IR","Achilles","",""
"14932-8640","RW","David","Perron","2.3848484848484848","66","5800","ANH@STL","ANH","STL","","","",""
"14932-8702","C","Ryan","Kesler","2.471212121212121","66","5800","ANH@STL","ANH","STL","","","",""
"14932-15280","RW","Brandon","Saad","2.8359375","64","5700","PIT@CLS","CLS","PIT","DTD","Upper body","",""
"14932-8539","RW","Nick","Foligno","2.389655172413793","58","5700","PIT@CLS","CLS","PIT","","","",""
"14932-8515","C","Brandon","Dubinsky","2.6108333333333333","60","5600","PIT@CLS","CLS","PIT","","","",""
"14932-14457","D","John","Klingberg","3.007575757575758","66","5600","CHI@DAL","DAL","CHI","O","Lower body","",""
"14932-8258","RW","Patrick","Sharp","3.0315384615384615","65","5500","CHI@DAL","DAL","CHI","O","Lower body","",""
"14932-12682","C","Brandon","Pirri","2.1326923076923077","52","5500","ANH@STL","ANH","STL","IR","Ankle","",""
"14932-8669","D","Victor","Hedman","2.5833333333333335","66","5500","PHI@TB","TB","PHI","","","",""
"14932-21523","LW","Alex","Killorn","2.196969696969697","66","5500","PHI@TB","TB","PHI","","","",""
"14932-8267","D","Brent","Seabrook","2.6676470588235297","68","5400","CHI@DAL","CHI","DAL","","","",""
"14932-41592","LW","Max","Domi","2.586363636363636","66","5400","ARI@CGY","ARI","CGY","","","",""
"14932-8520","RW","Ryan","Callahan","2.0318181818181817","66","5400","PHI@TB","TB","PHI","","","",""
"14932-54521","D","Shayne","Gostisbehere","3.221276595744681","47","5300","PHI@TB","PHI","TB","","","",""
"14932-8562","LW","Scott","Hartnell","2.776923076923077","65","5300","PIT@CLS","CLS","PIT","","","",""
"14932-14474","D","Sami","Vatanen","2.336363636363636","66","5200","ANH@STL","ANH","STL","DTD","Upper body","",""
"14932-15357","LW","Carl","Hagelin","1.75625","64","5100","PIT@CLS","PIT","CLS","DTD","Concussion","",""
"14932-15356","D","Dougie","Hamilton","2.053731343283582","67","5100","ARI@CGY","CGY","ARI","","","",""
"14932-15281","RW","Andrew","Shaw","2.258088235294118","68","5100","CHI@DAL","CHI","DAL","","","",""
"14932-15308","C","Sean","Couturier","2.3617021276595747","47","5000","PHI@TB","PHI","TB","","","",""
"14932-8659","LW","Alex","Tanguay","1.769090909090909","55","5000","ARI@CGY","ARI","CGY","","","",""
"14932-8578","RW","Shane","Doan","3.161206896551724","58","5000","ARI@CGY","ARI","CGY","","","",""
"14932-38243","G","Anthony","Stolarz","0","0","4900","PHI@TB","PHI","TB","","","",""
"14932-8284","RW","Chris","Stewart","1.9478723404255318","47","4800","ANH@STL","ANH","STL","IR","Jaw","",""
"14932-61246","D","Colton","Parayko","2.2123076923076925","65","4800","ANH@STL","STL","ANH","","","",""
"14932-42869","G","Matthew","Murray","4.866666666666667","6","4800","PIT@CLS","PIT","CLS","","","",""
"14932-8918","D","Anton","Stralman","2.139393939393939","66","4800","PHI@TB","TB","PHI","DTD","Undisclosed","",""
"14932-11365","D","Kevin","Shattenkirk","2.4155172413793102","58","4800","ANH@STL","STL","ANH","","","",""
"14932-14473","RW","Jakob","Silfverberg","1.9333333333333336","66","4700","ANH@STL","ANH","STL","","","",""
"14932-43120","RW","Anthony","Duclair","2.1984848484848483","66","4700","ARI@CGY","ARI","CGY","","","",""
"14932-8516","C","Artem","Anisimov","2.2","67","4600","CHI@DAL","CHI","DAL","","","",""
"14932-58883","LW","Robby","Fabbri","1.9588709677419356","62","4600","ANH@STL","STL","ANH","","","",""
"14932-8274","C","Paul","Stastny","2.082","50","4500","ANH@STL","STL","ANH","","","",""
"14932-8362","RW","Ales","Hemsky","1.8967213114754098","61","4500","CHI@DAL","DAL","CHI","","","",""
"14932-8620","LW","Jamie","McGinn","1.8441176470588236","68","4500","ANH@STL","ANH","STL","","","",""
"14932-15313","C","Vladislav","Namestnikov","1.9892307692307694","65","4400","PHI@TB","TB","PHI","","","",""
"14932-12613","D","Radko","Gudas","1.5491525423728814","59","4400","PHI@TB","PHI","TB","","","",""
"14932-12299","D","David","Savard","1.6030000000000002","50","4400","PIT@CLS","CLS","PIT","","","",""
"14932-8506","D","Mark","Streit","1.8108695652173912","46","4400","PHI@TB","PHI","TB","","","",""
"14932-43178","C","Teuvo","Teravainen","1.9265625000000002","64","4400","CHI@DAL","CHI","DAL","","","",""
"14932-15333","LW","Antoine","Roussel","1.8492424242424244","66","4300","CHI@DAL","DAL","CHI","","","",""
"14932-40039","LW","Michael","Raffl","1.6292307692307693","65","4300","PHI@TB","PHI","TB","","","",""
"14932-39464","D","Hampus","Lindholm","1.6953846153846155","65","4300","ANH@STL","ANH","STL","","","",""
"14932-41394","D","Seth","Jones","1.6530303030303028","66","4300","PIT@CLS","CLS","PIT","","","",""
"14932-8575","C","Martin","Hanzal","2.45","54","4300","ARI@CGY","ARI","CGY","","","",""
"14932-12289","C","Jori","Lehtera","1.7230769230769232","65","4300","ANH@STL","STL","ANH","","","",""
"14932-12460","D","Cam","Fowler","1.7066037735849058","53","4300","ANH@STL","ANH","STL","","","",""
"14932-58332","C","Samuel","Bennett","1.9856060606060608","66","4200","ARI@CGY","CGY","ARI","DTD","Upper body","",""
"14932-11158","D","T.J.","Brodie","2.193103448275862","58","4200","ARI@CGY","CGY","ARI","DTD","Upper body","",""
"14932-8295","C","Antoine","Vermette","1.8245901639344264","61","4100","ARI@CGY","ARI","CGY","","","",""
"14932-8310","D","Kris","Russell","1.1218181818181818","55","4100","CHI@DAL","DAL","CHI","","","",""
"14932-9270","D","Jason","Demers","2.09344262295082","61","4100","CHI@DAL","DAL","CHI","O","Shoulder","",""
"14932-9293","RW","Troy","Brouwer","1.7801470588235295","68","4100","ANH@STL","STL","ANH","","","",""
"14932-42862","D","Olli","Maatta","1.7633333333333334","60","4100","PIT@CLS","PIT","CLS","","","",""
"14932-42417","LW","Jonathan","Drouin","1.5052631578947369","19","4100","PHI@TB","TB","PHI","","","",""
"14932-8356","RW","Sam","Gagner","1.6680555555555554","36","4100","PHI@TB","PHI","TB","","","",""
"14932-54743","C","Alexander","Wennberg","1.7436363636363637","55","4100","PIT@CLS","CLS","PIT","","","",""
"14932-8484","RW","David","Clarkson","0.7977272727272727","22","4100","PIT@CLS","CLS","PIT","","","",""
"14932-8611","D","Alex","Goligoski","1.8838235294117647","68","4100","CHI@DAL","DAL","CHI","","","",""
"14932-8384","RW","Michael","Frolik","2.138181818181818","55","4000","ARI@CGY","CGY","ARI","","","",""
"14932-8336","C","Valtteri","Filppula","1.5970149253731343","67","4000","PHI@TB","TB","PHI","","","",""
"14932-8746","LW","Matt","Calvert","1.4456896551724137","58","3900","PIT@CLS","CLS","PIT","","","",""
"14932-8711","D","Kevin","Bieksa","1.4295454545454545","66","3900","ANH@STL","ANH","STL","","","",""
"14932-8720","RW","Tomas","Fleischmann","1.6725806451612903","62","3900","CHI@DAL","CHI","DAL","","","",""
"14932-11122","C","Nick","Bonino","1.3585106382978724","47","3900","PIT@CLS","PIT","CLS","","","",""
"14932-12094","D","Kevin","Connauton","1.742","50","3900","ARI@CGY","ARI","CGY","","","",""
"14932-11293","RW","Joe","Colborne","1.6594827586206897","58","3800","ARI@CGY","CGY","ARI","","","",""
"14932-11284","C","Cody","Eakin","1.835294117647059","68","3800","CHI@DAL","DAL","CHI","","","",""
"14932-39990","C","William","Karlsson","1.0545454545454545","66","3800","PIT@CLS","CLS","PIT","","","",""
"14932-11225","RW","Dale","Weise","2.0796610169491525","59","3800","CHI@DAL","CHI","DAL","","","",""
"14932-8270","D","Niklas","Hjalmarsson","1.3102941176470588","68","3700","CHI@DAL","CHI","DAL","","","",""
"14932-60686","LW","Mattias","Janmark","1.8176470588235294","68","3700","CHI@DAL","DAL","CHI","","","",""
"14932-8397","C","Brad","Richardson","1.6119402985074627","67","3700","ARI@CGY","ARI","CGY","","","",""
"14932-41392","LW","Valeri","Nichushkin","1.7876923076923077","65","3700","CHI@DAL","DAL","CHI","","","",""
"14932-8357","LW","Andrew","Cogliano","1.3696969696969699","66","3700","ANH@STL","ANH","STL","","","",""
"14932-8992","RW","Colton","Sceviour","1.5833333333333333","60","3700","CHI@DAL","DAL","CHI","","","",""
"14932-43093","D","Shea","Theodore","2.1538461538461537","13","3700","ANH@STL","ANH","STL","","","",""
"14932-8576","C","Vernon","Fiddler","1.4095588235294116","68","3700","CHI@DAL","DAL","CHI","","","",""
