Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,EMPTY
14899-8594,C,Sidney,Crosby,4.0828125,64,9800,PIT@NYI,PIT,NYI,,,
14899-8532,G,Henrik,Lundqvist,5.083018868,53,9700,NYR@BUF,NYR,BUF,DTD,Neck,
14899-8612,G,Marc-Andre,Fleury,5.033333333,48,9600,PIT@NYI,PIT,NYI,,,
14899-8883,G,Ben,Bishop,4.844897959,49,9300,BOS@TB,TB,BOS,,,
14899-39253,LW,Filip,Forsberg,3.466666667,66,9000,NSH@WPG,NSH,WPG,,,
14899-8193,G,Tuukka,Rask,4.811538462,52,9000,BOS@TB,BOS,TB,,,
14899-8633,G,Thomas,Greiss,5.457142857,28,9000,PIT@NYI,NYI,PIT,,,
14899-15400,G,Petr,Mrazek,4.764444444,45,8900,DET@CLS,DET,CLS,,,
14899-8595,C,Evgeni,Malkin,4.184545455,55,8900,PIT@NYI,PIT,NYI,,,
14899-9278,G,Martin,Jones,4.789090909,55,8700,SJ@EDM,SJ,EDM,,,
14899-8472,G,Pekka,Rinne,4.066666667,54,8700,NSH@WPG,NSH,WPG,,,
14899-8494,C,John,Tavares,3.68,60,8600,PIT@NYI,NYI,PIT,,,
14899-11133,G,Carter,Hutton,5.254545455,11,8500,NSH@WPG,NSH,WPG,,,
14899-8292,G,Craig,Anderson,4.892307692,52,8500,OTT@CAR,OTT,CAR,DTD,Lower body,
14899-8655,C,Steven,Stamkos,3.318181818,66,8400,BOS@TB,TB,BOS,,,
14899-54065,G,Joonas,Korpisalo,4.72,25,8400,DET@CLS,CLS,DET,,,
14899-40050,G,Antti,Raanta,3.233333333,18,8300,NYR@BUF,NYR,BUF,,,
14899-8302,LW,Rick,Nash,3.413333333,45,8300,NYR@BUF,NYR,BUF,O,Knee,
14899-8453,G,Jaroslav,Halak,4.36,35,8300,PIT@NYI,NYI,PIT,,,
14899-8763,LW,Brad,Marchand,4.279032258,62,8200,BOS@TB,BOS,TB,,,
