"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14945-8718","LW","Alexander","Ovechkin","5.191538461538462","65","9900","WAS@SJ","WAS","SJ","","","",""
"14945-8732","G","Semyon","Varlamov","4.604347826086957","46","9700","COL@WPG","COL","WPG","","","",""
"14945-9112","G","Jake","Allen","4.897560975609756","41","9400","STL@DAL","STL","DAL","","","",""
"14945-9278","G","Martin","Jones","4.714285714285714","56","9100","WAS@SJ","SJ","WAS","","","",""
"14945-9416","G","Braden","Holtby","5.24","55","9100","WAS@SJ","WAS","SJ","","","",""
"14945-39253","LW","Filip","Forsberg","3.4338235294117645","68","8800","NSH@VAN","NSH","VAN","","","",""
"14945-8553","G","Brian","Elliott","4.676470588235294","34","8800","STL@DAL","STL","DAL","IR","Lower body","",""
"14945-8472","G","Pekka","Rinne","4.087272727272728","55","8800","NSH@VAN","NSH","VAN","","","",""
"14945-9302","G","Michal","Neuvirth","4.966666666666667","30","8600","PHI@FLA","PHI","FLA","DTD","Illness","",""
"14945-8412","G","Jon","Quick","4.762962962962963","54","8600","NJ@LA","LA","NJ","","","",""
"14945-8712","G","Roberto","Luongo","4.853846153846154","52","8500","PHI@FLA","FLA","PHI","","","",""
"14945-8292","G","Craig","Anderson","4.781132075471699","53","8500","TOR@OTT","OTT","TOR","","","",""
"14945-11133","G","Carter","Hutton","5.083333333333333","12","8400","NSH@VAN","NSH","VAN","","","",""
"14945-8556","C","Claude","Giroux","3.5976190476190477","63","8400","PHI@FLA","PHI","FLA","","","",""
"14945-11301","G","Cameron","Talbot","4.208510638297873","47","8300","ARI@EDM","EDM","ARI","","","",""
"14945-8426","D","Brent","Burns","4.175373134328358","67","8200","WAS@SJ","SJ","WAS","","","",""
"14945-9005","G","Jhonas","Enroth","4.584615384615385","13","8100","NJ@LA","LA","NJ","","","",""
"14945-8312","G","Steve","Mason","4.325","40","8100","PHI@FLA","PHI","FLA","","","",""
"14945-8212","G","Ryan","Miller","4.032558139534884","43","8100","NSH@VAN","VAN","NSH","","","",""
"14945-8615","RW","Joe","Pavelski","4.092537313432835","67","8100","WAS@SJ","SJ","WAS","","","",""
"14945-12697","G","Philipp","Grubauer","4.235294117647059","17","8000","WAS@SJ","WAS","SJ","","","",""
"14945-8920","G","Devan","Dubnyk","4.373584905660378","53","7800","MIN@MON","MIN","MON","","","",""
"14945-8986","LW","Jamie","Benn","4.381159420289856","69","7800","STL@DAL","DAL","STL","","","",""
"14945-14466","G","Darcy","Kuemper","3.7789473684210533","19","7800","MIN@MON","MIN","MON","","","",""
"14945-8404","RW","Wayne","Simmonds","3.390151515151515","66","7700","PHI@FLA","PHI","FLA","","","",""
"14945-8781","G","Cory","Schneider","4.556363636363637","55","7600","NJ@LA","NJ","LA","O","Knee","",""
"14945-39349","G","Reto","Berra","4.214285714285714","14","7600","COL@WPG","COL","WPG","","","",""
"14945-8172","G","Kari","Lehtonen","3.9942857142857147","35","7600","STL@DAL","DAL","STL","","","",""
"14945-8438","LW","Michael","Cammalleri","3.6880952380952383","42","7600","NJ@LA","NJ","LA","IR","Hand","",""
"14945-12654","G","Calvin","Pickard","4.011764705882353","17","7500","COL@WPG","COL","WPG","","","",""
"14945-8303","RW","Jakub","Voracek","3.1883333333333335","60","7500","PHI@FLA","PHI","FLA","O","Lower body","",""
"14945-23071","RW","Vladimir","Tarasenko","4.030597014925373","67","7500","STL@DAL","STL","DAL","","","",""
"14945-8698","LW","Daniel","Sedin","3.8772727272727274","66","7400","NSH@VAN","VAN","NSH","","","",""
"14945-8394","C","Anze","Kopitar","3.5615384615384613","65","7300","NJ@LA","LA","NJ","","","",""
"14945-8441","LW","Max","Pacioretty","3.4382352941176473","68","7300","MIN@MON","MON","MIN","","","",""
"14945-8478","LW","Zach","Parise","3.2964912280701757","57","7300","MIN@MON","MIN","MON","","","",""
"14945-12093","G","Ben","Scrivens","3.4545454545454546","11","7200","MIN@MON","MON","MIN","","","",""
"14945-9269","C","Logan","Couture","3.2432432432432434","37","7200","WAS@SJ","SJ","WAS","","","",""
"14945-62666","G","Matthew","O'Connor","3.2","1","7200","TOR@OTT","OTT","TOR","","","",""
"14945-8555","RW","Jeff","Carter","3.4491803278688526","61","7200","NJ@LA","LA","NJ","","","",""
"14945-15321","C","Mark","Scheifele","3.4660714285714285","56","7100","COL@WPG","WPG","COL","","","",""
"14945-64102","C","Connor","McDavid","3.596969696969697","33","7100","ARI@EDM","EDM","ARI","","","",""
"14945-8797","LW","James","van Riemsdyk","3.315","40","7100","TOR@OTT","TOR","OTT","IR","Foot","",""
"14945-38930","G","Andrew","Hammond","3.3444444444444446","18","7100","TOR@OTT","OTT","TOR","","","",""
"14945-39844","G","Mike","Condon","3.3955555555555557","45","7100","MIN@MON","MON","MIN","","","",""
"14945-8672","G","Mike","Smith","3.6727272727272733","22","7100","ARI@EDM","ARI","EDM","","","",""
"14945-9052","G","James","Reimer","4.105882352941177","34","7000","WAS@SJ","SJ","WAS","","","",""
"14945-11184","G","Richard","Bachman","5.6000000000000005","1","7000","NSH@VAN","VAN","NSH","","","",""
"14945-52475","C","Evgeny","Kuznetsov","3.9074626865671642","67","7000","WAS@SJ","WAS","SJ","","","",""
"14945-8264","D","Dustin","Byfuglien","3.2917910447761196","67","7000","COL@WPG","WPG","COL","","","",""
"14945-9266","LW","Brayden","Schenn","3.02890625","64","7000","PHI@FLA","PHI","FLA","","","",""
"14945-8593","G","Al","Montoya","3.8800000000000003","20","7000","PHI@FLA","FLA","PHI","","","",""
"14945-8293","G","Peter","Budaj","3.8000000000000007","1","6900","NJ@LA","LA","NJ","","","",""
"14945-14483","G","Louis","Domingue","4.074285714285715","35","6900","ARI@EDM","ARI","EDM","","","",""
"14945-8776","G","Ondrej","Pavelec","3.1217391304347832","23","6800","COL@WPG","WPG","COL","","","",""
"14945-14183","G","Keith","Kinkaid","3.675","16","6800","NJ@LA","NJ","LA","","","",""
"14945-12283","G","Jacob","Markstrom","4.192","25","6800","NSH@VAN","VAN","NSH","","","",""
"14945-8182","RW","Blake","Wheeler","3.5634328358208953","67","6800","COL@WPG","WPG","COL","","","",""
"14945-9288","G","Antti","Niemi","3.842857142857143","42","6800","STL@DAL","DAL","STL","","","",""
"14945-8641","C","Alexander","Steen","3.19672131147541","61","6800","STL@DAL","STL","DAL","IR","Upper body","",""
"14945-12410","LW","Taylor","Hall","3.642857142857143","70","6700","ARI@EDM","EDM","ARI","","","",""
"14945-8551","D","Erik","Karlsson","3.68695652173913","69","6700","TOR@OTT","OTT","TOR","","","",""
"14945-8614","C","Joe","Thornton","3.408955223880597","67","6700","WAS@SJ","SJ","WAS","","","",""
"14945-8275","C","Matt","Duchene","3.0695652173913044","69","6600","COL@WPG","COL","WPG","","","",""
"14945-14697","RW","Gabriel","Landeskog","2.9092307692307693","65","6600","COL@WPG","COL","WPG","O","Suspension","",""
"14945-14468","G","Anders","Nilsson","3.46923076923077","26","6600","STL@DAL","STL","DAL","","","",""
"14945-12417","C","Tyler","Seguin","4.305797101449276","69","6600","STL@DAL","DAL","STL","","","",""
"14945-8780","G","Jonathan","Bernier","3.0066666666666673","30","6500","TOR@OTT","TOR","OTT","","","",""
"14945-15271","G","Laurent","Brossoit","1.8000000000000007","2","6500","ARI@EDM","EDM","ARI","","","",""
"14945-68599","G","Nathan","Schoenfeld","0","0","6500","ARI@EDM","ARI","EDM","","","",""
"14945-66613","G","Niklas","Treutle","-1","2","6500","ARI@EDM","ARI","EDM","","","",""
"14945-41391","C","Nathan","MacKinnon","3.2637681159420286","69","6500","COL@WPG","COL","WPG","","","",""
"14945-15283","C","Vincent","Trocheck","2.873134328358209","67","6400","PHI@FLA","FLA","PHI","","","",""
"14945-12240","G","Edward","Pasquale","0","0","6400","MIN@MON","MON","MIN","","","",""
"14945-41393","C","Aleksander","Barkov","3.4686274509803923","51","6400","PHI@FLA","FLA","PHI","","","",""
"14945-8714","C","Nicklas","Backstrom","3.490625","64","6300","WAS@SJ","WAS","SJ","","","",""
"14945-58909","G","Connor","Hellebuyck","4.323076923076924","26","6300","COL@WPG","WPG","COL","","","",""
"14945-8643","C","David","Backes","2.5079710144927536","69","6300","STL@DAL","STL","DAL","","","",""
"14945-8741","C","Nazem","Kadri","2.89765625","64","6200","TOR@OTT","TOR","OTT","","","",""
"14945-8906","G","Leland","Irving","0","0","6200","MIN@MON","MIN","MON","","","",""
"14945-15217","LW","Jonathan","Huberdeau","2.9819672131147543","61","6200","PHI@FLA","FLA","PHI","","","",""
"14945-9025","RW","Jordan","Eberle","2.6315789473684212","57","6200","ARI@EDM","EDM","ARI","","","",""
"14945-9252","G","Alex","Stalock","2.030769230769231","13","6200","TOR@OTT","TOR","OTT","","","",""
"14945-11294","G","Michael","Hutchinson","3.1120000000000005","25","6200","COL@WPG","WPG","COL","","","",""
"14945-8406","D","Drew","Doughty","3.0636363636363635","66","6200","NJ@LA","LA","NJ","","","",""
"14945-8651","D","Alex","Pietrangelo","2.0783333333333336","60","6200","STL@DAL","STL","DAL","","","",""
"14945-15239","RW","Craig","Smith","2.4544117647058825","68","6100","NSH@VAN","NSH","VAN","","","",""
"14945-8178","LW","Milan","Lucic","2.790769230769231","65","6100","NJ@LA","LA","NJ","","","",""
