"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14892-8718","LW","Alexander","Ovechkin","5.275396825396826","63","10200","WAS@ANH","WAS","ANH","","","",""
"14892-8883","G","Ben","Bishop","4.844897959183673","49","9300","TB@PHI","TB","PHI","","","",""
"14892-9416","G","Braden","Holtby","5.275471698113208","53","9100","WAS@ANH","WAS","ANH","","","",""
"14892-8193","G","Tuukka","Rask","4.741176470588235","51","9000","BOS@FLA","BOS","FLA","","","",""
"14892-23072","G","Frederik","Andersen","4.261111111111111","36","9000","WAS@ANH","ANH","WAS","","","",""
"14892-8712","G","Roberto","Luongo","4.956","50","8900","BOS@FLA","FLA","BOS","","","",""
"14892-8732","G","Semyon","Varlamov","4.318181818181818","44","8900","ARI@COL","COL","ARI","","","",""
"14892-9278","G","Martin","Jones","4.666666666666667","54","8700","SJ@CGY","SJ","CGY","","","",""
"14892-9302","G","Michal","Neuvirth","4.966666666666667","30","8600","TB@PHI","PHI","TB","","","",""
"14892-8412","G","Jon","Quick","4.7153846153846155","52","8400","VAN@LA","LA","VAN","","","",""
"14892-8655","C","Steven","Stamkos","3.3938461538461544","65","8400","TB@PHI","TB","PHI","","","",""
"14892-8212","G","Ryan","Miller","4.10952380952381","42","8300","VAN@LA","VAN","LA","","","",""
"14892-8763","LW","Brad","Marchand","4.237704918032787","61","8200","BOS@FLA","BOS","FLA","","","",""
"14892-54565","G","Andrei","Vasilevskii","4.5888888888888895","18","8200","TB@PHI","TB","PHI","","","",""
"14892-8134","C","Ryan","Getzlaf","3.2779661016949153","59","8200","WAS@ANH","ANH","WAS","","","",""
"14892-15268","G","John","Gibson","4.428571428571429","28","8100","WAS@ANH","ANH","WAS","","","",""
"14892-8944","G","Chad","Johnson","4.175757575757576","33","8100","BUF@TOR","BUF","TOR","","","",""
"14892-9005","G","Jhonas","Enroth","4.584615384615385","13","8100","VAN@LA","LA","VAN","","","",""
"14892-8312","G","Steve","Mason","4.294736842105263","38","8100","TB@PHI","PHI","TB","","","",""
"14892-8556","C","Claude","Giroux","3.538524590163935","61","8100","TB@PHI","PHI","TB","","","",""
"14892-54514","LW","Johnny","Gaudreau","3.6828125","64","8000","SJ@CGY","CGY","SJ","","","",""
"14892-12697","G","Philipp","Grubauer","4.235294117647059","17","8000","WAS@ANH","WAS","ANH","","","",""
"14892-8175","C","Patrice","Bergeron","4.09453125","64","7800","BOS@FLA","BOS","FLA","","","",""
"14892-8615","RW","Joe","Pavelski","4.0921875","64","7800","SJ@CGY","SJ","CGY","","","",""
"14892-8142","RW","Corey","Perry","3.43828125","64","7700","WAS@ANH","ANH","WAS","","","",""
"14892-8426","D","Brent","Burns","4.14375","64","7700","SJ@CGY","SJ","CGY","","","",""
"14892-8698","LW","Daniel","Sedin","3.9546875000000004","64","7700","VAN@LA","VAN","LA","","","",""
"14892-8864","G","Robin","Lehner","4.611111111111111","18","7600","BUF@TOR","BUF","TOR","","","",""
"14892-39349","G","Reto","Berra","4.214285714285714","14","7600","ARI@COL","COL","ARI","","","",""
"14892-12654","G","Calvin","Pickard","4.011764705882353","17","7500","ARI@COL","COL","ARI","","","",""
"14892-8303","RW","Jakub","Voracek","3.1883333333333335","60","7500","TB@PHI","PHI","TB","O","Lower body","",""
"14892-8432","G","Niklas","Backstrom","0","0","7500","SJ@CGY","CGY","SJ","","","",""
"14892-9366","G","Dustin","Tokarski","1.3666666666666665","6","7400","WAS@ANH","ANH","WAS","","","",""
"14892-8404","RW","Wayne","Simmonds","3.30859375","64","7400","TB@PHI","PHI","TB","","","",""
"14892-54809","G","Linus","Ullmark","3.8947368421052633","19","7400","BUF@TOR","BUF","TOR","","","",""
"14892-41389","C","Sean","Monahan","2.8546875","64","7400","SJ@CGY","CGY","SJ","","","",""
"14892-8893","G","Anton","Khudobin","3.3000000000000003","8","7200","WAS@ANH","ANH","WAS","","","",""
"14892-8797","LW","James","van Riemsdyk","3.315","40","7100","BUF@TOR","TOR","BUF","IR","Foot","",""
"14892-8672","G","Mike","Smith","3.6727272727272733","22","7100","ARI@COL","ARI","COL","IR","Lower body","",""
"14892-8593","G","Al","Montoya","3.978947368421053","19","7100","BOS@FLA","FLA","BOS","","","",""
"14892-11184","G","Richard","Bachman","5.6000000000000005","1","7000","VAN@LA","VAN","LA","","","",""
"14892-52475","C","Evgeny","Kuznetsov","3.9215384615384616","65","7000","WAS@ANH","WAS","ANH","","","",""
"14892-9269","C","Logan","Couture","3.1941176470588233","34","7000","SJ@CGY","SJ","CGY","","","",""
"14892-8394","C","Anze","Kopitar","3.4825396825396826","63","7000","VAN@LA","LA","VAN","","","",""
"14892-8293","G","Peter","Budaj","3.8000000000000007","1","6900","VAN@LA","LA","VAN","","","",""
"14892-14483","G","Louis","Domingue","4.04375","32","6900","ARI@COL","ARI","COL","","","",""
"14892-12283","G","Jacob","Markstrom","4.058333333333334","24","6800","VAN@LA","VAN","LA","","","",""
"14892-14697","RW","Gabriel","Landeskog","2.9365079365079363","63","6800","ARI@COL","COL","ARI","","","",""
"14892-9092","LW","Evander","Kane","3.1718181818181814","55","6700","BUF@TOR","BUF","TOR","","","",""
"14892-13612","C","Tyler","Johnson","2.5730769230769233","52","6700","TB@PHI","TB","PHI","","","",""
"14892-9266","LW","Brayden","Schenn","2.9104838709677416","62","6700","TB@PHI","PHI","TB","","","",""
"14892-43214","RW","Nikita","Kucherov","3.465079365079365","63","6700","TB@PHI","TB","PHI","","","",""
"14892-8693","G","Jonas","Gustavsson","3.926315789473685","19","6700","BOS@FLA","BOS","FLA","","","",""
"14892-15269","C","Rickard","Rakell","2.6155737704918036","61","6600","WAS@ANH","ANH","WAS","","","",""
"14892-8614","C","Joe","Thornton","3.4671875","64","6600","SJ@CGY","SJ","CGY","","","",""
"14892-8780","G","Jonathan","Bernier","3.0066666666666673","30","6500","BUF@TOR","TOR","BUF","","","",""
"14892-14148","G","Joni","Ortio","2.0800000000000005","10","6500","SJ@CGY","CGY","SJ","","","",""
"14892-9052","G","James","Reimer","3.890909090909091","33","6500","SJ@CGY","SJ","CGY","","","",""
"14892-68599","G","Nathan","Schoenfeld","0","0","6500","ARI@COL","ARI","COL","","","",""
"14892-66613","G","Niklas","Treutle","-1","2","6500","ARI@COL","ARI","COL","","","",""
"14892-14126","G","Allan","York","0","0","6400","TB@PHI","TB","PHI","","","",""
